март | 05/12/23 | 05:42:56 | 31.209.43.116 | Последните албуми на Маричков и Тотев могат да бъдат чути тук: https://shturcite.bandcamp.com/album/75 https://www.youtube.com/watch?v=IJOkQDsCM7c&list=PLyRfdVggLsxzvAsCyYrYPP74_5jovzXg1&index=1
Петко | 03/22/12 | 10:57:02 | 216.91.204.49 | Ревю, Кирил Маричков, Денис Ризов и Иван Лечев - 200 (mp3) http://www.box.com/s/f936ebcce46f090dbdbb (YouTube) http://www.youtube.com/watch?v=E1oKgvOyjcw
ifrankyman | 03/08/12 | 17:49:12 | 93.152.183.185 | Някой има ли песента от филма "Индиански игри" или поне някаква информация?
Петко | 01/29/12 | 01:06:59 | 68.93.72.247 | Сложил съм и обложката в същата папка
Петко | 01/29/12 | 00:55:11 | 68.93.72.247 | Качих 19-тата песен (Ахат - На Прага). Странното е, че на самото ДВД номерацията е сбъркана, липсва №13, Звън (с Дони) е №14 и т.н.
март | 01/17/12 | 14:26:31 | 72.14.221.104 | Липсва 19та песен
Петко | 01/12/12 | 11:58:38 | 216.91.204.49 | Мисля че си заслужава в дискографията да се спомене ДВД-то Антология - Концертът (15 ноември 2004). Може дори и музиката да се добави към аудио-колекцията: http://www.box.com/shared/hr8qv8s2ye
март | 12/20/11 | 05:24:19 | 72.14.221.104 | Изглежда има някаква нова песен на Валди Тотев, която все още не е издавана: http://www.youtube.com/watch?v=sTty4QOgZ9k
март | 12/20/11 | 05:20:45 | 72.14.221.104 | "Автопортрет" я добавих при песните.
Петко | 12/15/11 | 13:28:35 | 216.91.204.49 | Пим-Пам - Звън http://www.box.com/s/clrs2bekzoc2ep6is3qb
Петко | 12/14/11 | 13:13:11 | 216.91.204.49 | Пим-Пам и Димо (P.I.F.) - Бяла тишина http://www.box.com/s/6a2tpxo2b0b0aip5t2nj
Петко | 12/12/11 | 17:32:53 | 216.91.204.49 | Валди Тотев и Смехоранчета - Автопортрет на 7 http://www.box.com/s/17qfcp9us8zhey9fjfx8
март | 03/18/11 | 14:50:11 | 72.14.221.104 | да, същия е сайта, само дизайна е нов
Mария | 03/18/11 | 14:36:45 | 89.252.235.201 | Марти не мога да позная сайта, няма нищо общо със стария, това твоя сайт ли е?
март | 02/03/11 | 11:14:43 | 72.14.221.104 | ето беседата относно това https://secure.wikimedia.org/wikipedia/bg/wiki/%D0%9F%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%B8%D1%82%D0%B5%D0%BB_%D0%B1%D0%B5%D1%81%D0%B5%D0%B4%D0%B0:Iliev#.D0.92.D1.8A.D0.BF.D1.80.D0.BE.D1.81
март | 02/03/11 | 03:28:33 | 72.14.221.104 | защото Iliev е я махнал като причината му е "всички права запазени, а. еми, значи спам." http://bg.wikipedia.org/w/index.php?title=%D0%A9%D1%83%D1%80%D1%86%D0%B8%D1%82%D0%B5&action=history
Климент | 02/02/11 | 17:40:01 | 94.155.115.102 | Странно, защо линкът към този сайт изчезна от уикипедия?
дона | 11/16/10 | 13:47:19 | 95.42.154.99 | много е полезен за всички ни този сайт, Март.
Димитър | 11/09/10 | 07:39:08 | 85.118.193.144 | Моля пишете ми на : dimboy@mail.bg
Димитър | 11/09/10 | 07:34:10 | 85.118.193.144 | Искам да поканя Щурците за концерт. Може ли контакт с тях? Имам финансиране!
щуреца | 11/08/10 | 18:38:16 | 95.43.18.222 | браво Петко изгря и Мими редом с Кирчо в утрото
vladislava | 10/20/10 | 06:11:12 | 95.43.251.56 | как мога да се свържа с Щурците за да ги поканя на фирмено мероприятие, което органицирам
Петко | 10/11/10 | 13:51:39 | 216.91.204.49 | Мими Иванова и Кирил Маричков - "Гласове" (1972) http://www.box.net/shared/ghp69nkq38 Фестивал "Златният Орфей" от блога на Кирил Пеев http://ki4erinivinylcoll.blogspot.com/2010/09/blog-post_19.php
vanio georgiev | 10/02/10 | 14:35:10 | 84.252.38.72 | 6urcite az sum vanio az sum va6 fen
plaang | 09/21/10 | 01:46:38 | 195.242.126.5 | Браво за сайта пич, голям си.
Балкантон | 09/07/10 | 23:56:49 | 95.43.7.113 | Предполагам, че го правят за влизане в тоналност гласа на Кирчо падна в годините а Валди е поне 10 години по млад
щуреца | 09/06/10 | 02:02:25 | 95.43.7.113 | някой ще качи ли песента на Мими Иванова и Кирчо от 1974 - Утро
март | 09/04/10 | 15:07:15 | 72.14.221.104 | качих го и докато се качваше отново ми направи впечатление, че има някои песни, които на студийните записи пее Маричков, а на живо изпълнява Валди Тотев. Такива например са "Сватбен ден" и "Дяволски сезон". Предполагам, че го правят за да си дават разни почивки или може би за да има някакво редуване?
pirinchiev | 09/04/10 | 01:44:54 | 95.43.60.4 | дали може да се качи а между другото аз съм го свалил в mp3  но дали ще се прояви интерес
pirinchiev | 09/04/10 | 01:43:20 | 95.43.60.4 | липсва концертният албум 20 години по - късно
Петко | 08/09/10 | 14:03:38 | 216.91.204.49 | В началото на 90-те години Валди и Чочо Владовски записваха преводните песни за анимационните серии "Дисни Представя" по Канал 1. Валди пее песента на "Чип и Дейл - Спасителен Отряд" http://www.box.net/shared/p7qqil0lfc , а на другите серии (Гумени Мечета, Патешки Истории, Супер Балу) пее само Чочо Владовски
name/име | 08/08/10 | 02:37:34 | 85.91.131.68 | You've Got To Hide Your Love Away(beatles cover), Две следи, Клетва i Свети Георги и Змея(народна) http://www.multiupload.com/2OKXLBNHBZ
ifrankyman | 08/08/10 | 02:34:53 | 85.91.131.68 | няколко акустични песни от радио z-rock
Петко | 07/27/10 | 08:54:52 | 216.91.204.49 | Ето ги всички песни на Валди от "Играта на играчките 1" направо от филма със странични шумове, реплики и т.н. http://www.box.net/shared/este6lzkxp Не знам дали има начин да се изчистят или да се комбинират със оригиналите на Ранди Нюман.
март | 07/26/10 | 10:56:48 | 72.14.221.104 | виждам, че Валди пее и други песнички във филма
Петко | 07/24/10 | 15:49:55 | 68.92.213.83 | март - в началото на филма пее само Валди, на надписите в края  пеят двамата. Маричков освен това дублира гласа на динозавъра Рекс
март | 07/24/10 | 10:33:35 | 72.14.221.104 | Ами предполагам във "филмова музика". Дори не знаех, че има такава песен. Ето тук http://ww.vbox7.com/play:931d6d5f виждам, че я пее само Валди.
Петко | 07/22/10 | 20:47:01 | 68.93.81.246 | А в коя ли графа попада песента "Приятел имаш ти" в изпълнение на Валди Тотев и Кирил Маричков от преводната версия на филма "Играта на играчките"? http://www.box.net/shared/r6r0qj7ngp
март | 07/22/10 | 02:30:32 | 72.14.221.104 | преместих ги и добавих липсващата, както и новата, която между другото не е цялата и нещо се бъгва накрая, но все пак е по-добре от нищо
Петко | 07/21/10 | 15:43:31 | 216.91.204.49 | frankyman - благодаря за находката
frankyman | 07/21/10 | 13:25:07 | 85.91.131.68 | "Морето моряците ражда" линк http://dox.bg/files/dw?a=c4c8f838d1
Петко | 07/21/10 | 12:54:10 | 216.91.204.49 | за пълнота - гледам че липсва песента "Всичко е добро когато завърши добре" http://www.box.net/shared/ad2xk57a34 от блога на Антон http://bulgarianoriginals70s-80s.blogspot.com/2010/06/3-8-75-sp-75-3-of-8-february-75-sp-75.php
Петко | 07/21/10 | 12:42:14 | 216.91.204.49 | март - в колекцията ти в box-net "Аз съм просто човек" и "Номенклатор" би трябвало да са в папката "Малки Плочи"
март | 07/21/10 | 09:54:30 | 72.14.221.104 | няма я, а ти откъде я намери? :)
frankyman | 07/21/10 | 09:37:57 | 85.91.131.68 | "Морето моряците ражда" не я виждях качена, ако я няма, кажете
frankyman | 07/21/10 | 09:34:03 | 85.91.131.68 | "Морето моряците ражда" - в списъка с песните я няма, ако не е качена кажете, намерих я
март | 07/20/10 | 09:18:14 | 72.14.221.104 | Добавих песните, благодаря на Петко за помощта. Относно "Корабчета книжни" - направих следния екперимент: пуснах песента докато майка ми беше в стаята без да и казвам нищо, при което тя веднага каза, че са пеели тази песен, когато била малка и че се е казвала "Аврора" и била на някакъв детски хор. Затова я преименувам и слагам на мястото и.
Петко | 07/19/10 | 23:22:42 | 68.90.40.143 | За сравнение съм сложил и песента "Кажете не" в два варианта - Георги Минчев и Щурците, както и в изпълнение на Мария Мицева. Интересно дали е също в съпровод на Щурците, бих казал по-скоро не.
Петко | 07/19/10 | 23:21:05 | 68.90.40.143 | Интересно дали "Корабчета Книжни" с Детския Радиохор е "Аврора" от официалната дискография.
Петко | 07/19/10 | 23:17:44 | 68.90.40.143 | ето ги накуп тези песни, в които Щурците се изявяват като акомпанимент http://www.box.net/shared/dztzgsga4s
Петко | 07/19/10 | 15:44:17 | 216.91.204.49 | Щурците и Детски радиохор - Корабчета книжни, Мелодия на Годината '67 http://www.kaldata.com/forums/index.php?showtopic=100714&view=findpost&p=1648137
Петко | 07/19/10 | 15:42:05 | 216.91.204.49 | Диди Господинова и Щурците - Златно Лято, Хоризонт 3 http://www.kaldata.com/forums/index.php?showtopic=100714&view=findpost&p=1699060
Петко | 07/19/10 | 15:40:46 | 216.91.204.49 | със Стефка Берова http://bulgarianoriginals70s-80s.blogspot.com/2010/05/sp-73-stefka-berova-sp-73.php , Катя Филипова - Зората http://bulgarianoriginals70s-80s.blogspot.com/2009/07/10-76-horizont-10-76.php
Петко | 07/19/10 | 15:31:00 | 216.91.204.49 | Антон е публикувал още няколко бисера, в които Щурците свирят като акомпанимент, би било интересно да се съберат на едно място
name/име | 07/19/10 | 15:28:49 | 216.91.204.49 | март - ето по-читав линк за таблицата с песните http://spreadsheets.google.com/pub?key=pIIzqhl0fT19X3Eh2dhJfZQ&output=php и линк за песничката с Богдан Томов http://www.box.net/shared/bknnvha4gr
Петко | 07/19/10 | 15:21:26 | 216.91.204.49 | Някъде към 1985-а Богдан Томов издаде албум в сътрудничество с известни музиканти - Щурците, ФСБ, Тангра и т.н.  Песента "Оная думичка" със Щурците се въртеше доста по радиото. Албума като че ли вече е потънал в забрава, но поне въпросната песен се намира във форума "Аз качвам, ти качваш" в албума "Избрани песни" на Христо Ковачев http://www.kaldata.com/forums/index.php?showtopic=100714&view=findpost&p=1705226
март | 07/19/10 | 05:04:47 | 72.14.221.104 | Петко, за първи път чувам за такава песен. бих ги добавил в дискографията веднага, стига да знаех точно всички песни, в които щурците са акомпанимент както и годините в които са излезли. ако ми ги изпратиш ще ги добавя и в "аудио". а списъкът с песните, който си дал не се отваря - казва, че не е разрешен достъпа.
март | 07/19/10 | 05:02:14 | 72.14.221.104 | pirinchiev, песента "Птиците нямат сенки" отдавна е дигитализирана http://bulgarianoriginals70s-80s.blogspot.com/2009/03/1967-68-best-variety-dance-music-of.php а "Посвещение" можеш да свалиш оттук: http://www.box.net/shturcite/1/33725436/349319304
март | 07/19/10 | 04:59:26 | 72.14.221.104 | rumen baykov, авторите на "Посвещение" са: м. Ю. Ступел, т. Д. Методиев, ар. К. Маричков
март | 07/19/10 | 04:57:34 | 72.14.221.104 | ifrankyman, ето: http://www.box.net/shturcite/1/33725436/468047780
ifrankyman | 07/17/10 | 00:11:41 | 85.91.131.68 | може ли линк за тази песен?
Петко | 07/15/10 | 22:38:54 | 209.30.242.189 | Антон, благодаря за песента "Тръгни на път", много си е добро качеството.
Петко | 07/15/10 | 22:36:07 | 209.30.242.189 | Обнових таблицата с песните, По мои сметки остават 11 стари песни, които не са намерени, рипнати и разпространени https://spreadsheets.google.com/ccc?key=0AtCetAWCd_54cElJenFobDBmVDE5WDNFaDJkaEpmWlE&hl=en&pli=1#gid=0
pirinchiev | 07/13/10 | 09:46:02 | 85.130.44.91 | даи линк за тази песен
rumen baykov | 07/13/10 | 01:58:55 | 212.43.56.22 | Жестоко! Чух  песента "Посвещение" за пръв път по телевизията, когато бях на 11г. и ми се запечата в главата. От тогава я търся под дърво и камък... Сега след 35г. я чух за втори път! Усещането да намериш нещо, което си търсил 35г. е неописуемо. Кой я е написъл?
Петко | 07/12/10 | 18:16:28 | 68.92.62.26 | Дали имат място в дискографията песни като "Оная думичка" на Богдан Томов и Щурците, както и други песни, в които групата свири като акомпанимент?
pirinchiev | 07/12/10 | 13:00:31 | 95.43.35.252 | Песента е от 1967 година
pirinchiev | 07/12/10 | 12:58:49 | 95.43.35.252 | една песен за която може би няма да се сетите  -----Птиците нямат сенки  ----- в изпълнение на Мария Мицева и Щурците
Антон | 06/23/10 | 21:10:37 | 77.236.228.15 | Здравейте. Имам и песента Тръгни на път, но е с лошо качество. Който иска да ми драсне на мейла, ще му я пратя
март | 06/15/10 | 12:57:12 | 72.14.221.104 | гледайте - http://valditotev.hit.bg Валди Тотев имал сайт
Климент | 06/14/10 | 12:33:38 | 94.155.115.102 | Останаха още около 10 песни мисля
Климент | 06/14/10 | 12:31:57 | 94.155.115.102 | Антон благодаря за "Всичко е добро, когато завърши добре" Една песен по-малко от търсените.
Антон | 05/26/10 | 03:20:51 | 77.236.228.15 | Качих и малката плоча от 75г. с песните Училище за малки и големи и Песен за атомната гъба
Антон | 05/24/10 | 00:50:06 | 77.236.228.15 | Качих на блога малката плоча на Стефка Берова със Щурците '73
Антон | 05/23/10 | 12:18:28 | 109.173.72.69 | Евстати - Ясно, край на дискусията. Явно говорим за различни неща.
Евстати | 05/22/10 | 12:26:49 | 78.130.224.68 | Вокала на която и да е група, е лицето което представя същността на бандата. Той е връзката с хората. Кажи ми какъв би бил имиджа на тази група ако вокала върши иприказва глупости наляво и надясно.
Антон | 05/21/10 | 13:00:42 | 77.37.173.65 | Качих на блога малката плочата "Пътешествие със сал" с песните от едноименния филм.
Антон  | 05/21/10 | 12:58:25 | 77.37.173.65 | Евстати - Хе, вие направо убихте вожда с този пост. И коя група, според вас, е постигнала дължимото уважение, по простата причина, че вокалът им е мек и плътен? Явно разполагате с много свободно време, за да постигнете дълбочината на подобни бисери.
Евстати | 05/21/10 | 09:45:34 | 78.130.224.68 | Групата има много хубави песни... но за съжаление не са постигнали дължимото уважение. Може това да се дължи на простата истина че вокала е кух като градинска лейка.
март | 05/06/10 | 09:32:22 | 72.14.221.104 | ами бил прекарал инсулт ама се оправил, а другаде пък пишат, че било тумор в мозъка.. кой ли знае? божа работа..
Росен | 05/06/10 | 08:18:06 | 95.43.233.110 | хора кажете някаква информация за Петър Гюзелев нещо със здравето бил закъсал някой знае ли нещо повече
март | 04/10/10 | 05:00:13 | 72.14.221.104 | Линк за песента "Виолета" във flac http://www.box.net/shared/icba7q2g7h
Антон | 04/07/10 | 05:15:30 | 77.37.173.227 | Аз имам всички песни, които съм оцифровал във WAV. Но принципиално не распространявам музика във лосслес. Освен това, както каза Петко, при виниловия рип качеството в лосслес и мр3 320 не се отличава силно. Сега имам една добра новина за всички почитатели на групата. Благодарение на Ивайло Тончев се намери малката плоча от 73 с трите песни Пеликани върху сал, I'm a Man и Ние стопаните. Скоро ще я сложа на блога. И има вероятност да се появят песните Тръгни на път, Морето моряците ражда и Люляк за теб с Г. Кордов.
Петко | 04/05/10 | 10:50:46 | 78.46.86.74 | март - съмнявам се, че песните, които търсиш в lossless формат, ще се намерят в много по-добро качество, от тези публикувани в блога на Антон (320 kbps). Освен ако, разбира се, самият Кирил Маричков не ти ги прати.
март | 04/03/10 | 13:09:03 | 72.14.221.104 | търсят се следните песни във flac, wav или друг lossless формат http://6turcite.hit.bg/songs.txt За повече цъкнете на "последни промени" долу вляво.
